,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,Cluster,last_name,first_name
74,48.5,51.5,44.4,94.9,2456.0,-9.5,-16.7,17.5,89.4,2456.0,2.6,-26.7,7.3,87.2,1877.0,-18.3,-32.4,16.7,82.4,2695.0,11.4,-42.8,12.1,14.1,93.8,2248.0,-17.7,-25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.4,94.6,2406,-11.5,-18.7,17.3,34.3,86.0,2572.0,6.9,-34.6,7.3,87.2,1877.0,-18.3,-32.4,4,Garcia, Yimi
75,49.8,50.2,42.1,95.9,2391.0,-9.2,-13.6,26.5,90.7,2458.0,2.3,-26.6,1.8,89.5,1554.0,-14.5,-24.7,11.9,81.3,2651.0,9.1,-51.7,13.8,17.7,95.4,2225.0,-16.1,-18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,95.8,2342,-11.3,-15.0,19.2,38.4,87.8,2517.0,4.4,-34.4,1.8,89.5,1554.0,-14.5,-24.7,4,Wheeler, Zack
76,56.0,44.0,76.4,94.1,2432.0,3.8,-13.5,23.5,83.2,2799.0,-6.4,-46.9,0.0,0.0,0.0,0.0,0.0,0.2,77.7,2641.0,-10.5,-57.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4,94.1,2432,3.8,-13.5,17.9,23.6,83.2,2798.0,-6.4,-46.9,0.0,0.0,0.0,0.0,0.0,7,Matzek, Tyler
77,53.4,46.6,5.8,92.7,2031.0,11.5,-19.8,5.8,83.8,2266.0,-5.3,-40.1,38.8,87.8,1069.0,11.3,-35.1,0.0,0.0,0.0,0.0,0.0,0.0,49.5,92.7,1956.0,17.3,-25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,92.7,1964,16.7,-25.0,18.4,5.8,83.8,2266.0,-5.3,-40.1,38.8,87.8,1069.0,11.3,-35.1,1,Rodriguez, Joely
78,58.6,41.4,7.3,96.1,2149.0,-9.9,-16.9,24.4,86.8,2324.0,1.5,-30.4,16.3,90.2,1707.0,-11.7,-24.7,0.0,0.0,0.0,0.0,0.0,0.0,52.0,95.6,2190.0,-14.5,-22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,95.7,2185,-14.0,-21.7,16.4,24.4,86.8,2324.0,1.5,-30.4,16.3,90.2,1707.0,-11.7,-24.7,2,Urena, Jose
79,51.1,48.9,20.2,93.3,2297.0,-7.4,-16.8,38.9,82.9,2528.0,5.7,-44.2,19.0,87.8,1679.0,-11.5,-29.6,0.0,0.0,0.0,0.0,0.0,0.0,21.9,93.6,2191.0,-14.8,-20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,93.5,2242,-11.3,-18.9,17.4,38.9,82.9,2528.0,5.7,-44.2,19.0,87.8,1679.0,-11.5,-29.6,2,Cessa, Luis
80,59.0,41.0,40.4,94.4,2436.0,-10.5,-14.2,52.4,85.9,2398.0,3.6,-33.3,7.2,89.5,1697.0,-16.3,-27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,94.4,2436,-10.5,-14.2,19.9,52.4,85.9,2398.0,3.6,-33.3,7.2,89.5,1697.0,-16.3,-27.2,5,Bellatti, Andrew
81,51.9,48.1,19.0,92.1,2120.0,8.1,-17.6,29.3,81.7,2184.0,-2.9,-39.6,8.4,82.5,1630.0,12.7,-30.4,0.0,74.2,1944.0,-2.5,-51.4,2.9,43.3,92.8,2069.0,14.3,-20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3,92.6,2085,12.4,-19.3,18.2,29.3,81.7,2184.0,-2.9,-39.6,8.4,82.5,1630.0,12.7,-30.4,1,Corbin, Patrick
82,58.2,41.8,44.6,94.6,2325.0,-10.1,-15.3,31.4,83.3,2688.0,7.5,-37.4,24.0,88.7,1678.0,-14.0,-34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,94.6,2325,-10.1,-15.3,18.4,31.4,83.3,2688.0,7.5,-37.4,24.0,88.7,1678.0,-14.0,-34.4,5,Farmer, Buck
83,51.6,48.4,26.7,92.4,2177.0,-10.4,-17.6,21.9,84.1,1891.0,2.0,-34.9,15.1,85.2,1819.0,-17.0,-35.7,0.0,0.0,0.0,0.0,0.0,0.0,36.4,92.6,2128.0,-17.3,-23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,92.5,2149,-14.4,-20.8,18.9,21.9,84.1,1891.0,2.0,-34.9,15.1,85.2,1819.0,-17.0,-35.7,2,Floro, Dylan
