last_name, first_name,player_id,year,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,
Smeltzer, Devin,656970,2022,.322,88.8,16.2,7,62.8,15.2,30.9,25.3,50,50,39.1,89.5,2278,11,-18.1,6.6,77.1,2539,-15.7,-44.9,25.7,82.2,1599,13.6,-37.5,18.1,75.2,2554,-11.6,-59,15.7,0.9,88.6,2155,14.5,-24,9.7,84.8,2160,-2.3,-29.3,,,,,,,49.7,88.5,2253,8.5,-20.4,17.7,24.6,75.7,2550,-12.7,-55.3,25.7,82.2,1599,13.6,-37.5,
Steele, Justin,657006,2022,.295,87.1,7.5,3.9,66.9,16.7,26.3,44,48.4,51.6,56.8,92.2,2489,-1.5,-19.4,31,82.1,2690,-14.1,-43.3,1.8,87.5,1695,11.4,-24.3,2.8,78.1,2513,-12,-52.6,14.4,7.6,91.6,2409,9.4,-20.6,,,,,,,,,,,,64.5,92.1,2480,-0.3,-19.5,13.3,33.7,81.8,2676,-13.9,-44.1,1.8,87.5,1695,11.4,-24.3,
Swanson, Erik,657024,2022,.237,85,20.3,6.4,72.6,26.1,34.5,36.2,50.2,49.8,54.8,93.6,2291,-10,-12.5,19.8,84.9,2311,5.9,-31.5,,,,,,,,,,,,,,,,,,,,,,25.4,83.5,1147,-12,-34.2,13.4,54.8,93.6,2291,-10,-12.5,21.4,19.8,84.9,2311,5.9,-31.5,25.4,83.5,1147,-12,-34.2,
Thompson, Ryan,657044,2022,.273,87.8,6.8,4.7,62.5,17.8,31.8,35.5,51,49,10.5,91.6,2152,-13.5,-26.8,39.3,79.5,2147,13.7,-34.4,1.5,81.1,745,-5.1,-43.8,,,,,,,47.7,90,1987,-15.8,-41.7,1,87.2,2146,-2.3,-29.3,,,,,,,59.2,90.3,2019,-15.2,-38.8,17,39.3,79.5,2147,13.7,-34.4,1.5,81.1,745,-5.1,-43.8,
Watkins, Spenser,657093,2022,.345,90,11.6,7.2,67.2,13.1,26,38.4,47.6,52.4,38.4,91.4,2259,-1.2,-16.1,17.8,78.4,2589,13.9,-47.1,4.4,86,1649,-10.8,-26.5,9.6,76.8,2570,5.7,-60.7,15.3,1.6,90.9,2104,-14,-19.6,28.1,87.1,2455,6,-28.5,,,,,,,68.1,89.6,2336,1.4,-21.3,14,27.4,77.9,2583,11,-51.9,4.4,86,1649,-10.8,-26.5,
Wright, Kyle,657140,2022,.306,89,4.4,6.8,66,18.2,29.7,46.4,47.3,52.7,19.4,95.1,2385,-11.4,-17.7,7.2,90.1,2394,-1,-25.6,15.5,88.1,1699,-15.9,-35,34.1,84.7,2723,9,-46.6,12.7,23.9,94.4,2260,-16.6,-25.9,,,,,,,,,,,,43.3,94.7,2316,-14.3,-22.2,17.3,41.2,85.7,2666,7.3,-42.9,15.5,88.1,1699,-15.9,-35,
Otto Jr., Glenn,657248,2022,.343,89,13.2,8.9,66.7,12.7,26.4,46,53.4,46.6,23.1,92.1,2264,-4.2,-17,,,,,,7.6,88.1,1688,-14.2,-26,15,81.2,2461,6.6,-52.3,12.7,26.7,92.2,2235,-13.8,-22.4,,,,,,,,,,,,49.9,92.2,2249,-9.4,-19.9,16.6,42.5,81.1,2545,13,-45.9,7.6,88.1,1688,-14.2,-26,
Webb, Logan,657277,2022,.295,88.9,3.1,5.5,63.9,14.5,30.9,43.4,50.4,49.6,3.2,92.4,2069,-9.3,-22.4,32.7,82.5,2628,10.2,-39.4,31.2,86.4,1493,-7.1,-42,,,,,,,32.9,91.8,1881,-14.8,-34.8,,,,,,,,,,,,36.2,91.9,1898,-14.3,-33.7,15.1,32.7,82.5,2628,10.2,-39.4,31.2,86.4,1493,-7.1,-42,
Schmidt, Clarke,657376,2022,.292,89.1,13.5,9.7,66,17.5,27.6,48.8,49.6,50.4,16.2,94.7,2522,-4.9,-16.6,,,,,,4.8,89.6,2128,-7.9,-30.9,18.1,83.5,2913,15,-48.8,17.7,22.8,94.9,2407,-14.3,-23.4,,,,,,,,,,,,39,94.8,2455,-10.4,-20.6,15.7,56.1,85.5,2875,10.5,-38,4.8,89.6,2128,-7.9,-30.9,
Hill, Tim,657612,2022,.274,88.2,1.6,1.3,65.3,10.1,25.7,31.1,47,53,29.6,91.5,2211,17.4,-28.3,9,82.3,2004,1.5,-36.5,,,,,,,,,,,,54.6,89.5,2070,15.8,-38.5,6.8,88.9,1963,8,-29.2,,,,,,,91,90.1,2108,15.7,-34.5,16.5,9,82.3,2004,1.5,-36.5,,,,,,
Koenig, Jared,657649,2022,.347,90.4,12.3,5.2,67.6,8.4,22.7,34.2,51.3,48.7,10.9,89.4,2152,4.2,-21.1,,,,,,13,82.8,1605,13.2,-32.6,22.1,77.6,2210,-10,-54,13.1,38.7,89.2,2140,11.9,-23.2,15.3,82.9,2124,-4.2,-35.5,,,,,,,64.9,87.8,2138,6.8,-25.7,13.9,22.1,77.6,2210,-10,-54,13,82.8,1605,13.2,-32.6,
Ryan, Joe,657746,2022,.294,88.2,24.2,8.6,71.6,20,28,41.5,47.2,52.8,60.1,92,2194,-10.7,-17.5,17.8,82.2,2136,3.1,-37.5,12.1,84.6,2087,-17.5,-29.1,7.2,74.9,2371,10.6,-56.4,13.3,,,,,,,,,,,,,,,,,60.1,92,2194,-10.7,-17.5,18.4,27.8,80.2,2211,5.7,-42.5,12.1,84.6,2087,-17.5,-29.1,
Ohtani, Shohei,660271,2022,.256,87.1,14.5,6.3,68.2,22.6,28.6,59.5,48.6,51.4,27.6,97.3,2217,-3.4,-14.5,2.2,85.5,2493,6.7,-42.7,,,,,,8.6,77.7,2484,11.2,-59.4,17.6,3.7,97.2,1973,-16.2,-22.4,8.7,90.6,2390,3.6,-27.6,11.8,89.3,1267,-5.5,-32,6.8,40,95.8,2232,-3.1,-18.1,13.6,48.2,84,2491,13.2,-38,11.8,89.3,1267,-5.5,-32,
Suarez, Jose,660761,2022,.298,88.7,12,8.4,68.5,17,33,40.6,49,51,34.2,92.7,2214,9.5,-16.4,20.1,81.7,2584,-9.1,-36.4,24.4,82.4,1553,12.7,-35.4,13,78,2688,-10.5,-51.8,12.7,8.4,91.7,2029,15.2,-22.6,,,,,,,,,,,,42.6,92.5,2177,10.6,-17.6,18.4,33,80.2,2625,-9.6,-42.4,24.4,82.4,1553,12.7,-35.4,
Graterol, Brusdar,660813,2022,.248,85.4,0,4.3,75.5,17.3,31.5,34.1,42.1,57.9,10.9,99.4,2106,-8.3,-14.4,19.3,90.6,2526,5.4,-32,,,,,,,,,,,,42,99.8,2048,-16.4,-19.8,27.8,95.6,2321,0.2,-22.2,,,,,,,80.7,98.3,2150,-9.6,-19.9,14.3,19.3,90.6,2526,5.4,-32,,,,,,
De Los Santos, Enyel,660853,2022,.307,90.6,12,9.6,71.4,24.1,30.7,45.1,47,53,60.7,95.3,2251,-11.9,-16,28.6,83.1,2144,2.7,-39.2,10.7,87.3,1861,-15.5,-26.4,,,,,,,,,,,,,,,,,,,,,,,60.7,95.3,2251,-11.9,-16,18.6,28.6,83.1,2144,2.7,-39.2,10.7,87.3,1861,-15.5,-26.4,
Gutierrez, Vladimir,661269,2022,.364,89.3,18.6,9.2,64.8,14,21.2,29.3,51.8,48.2,49.7,92.8,2140,-12,-17.7,21.9,82.2,2490,12.8,-40.6,15.4,82.9,1737,-13.1,-29.9,13,78.4,2555,15.1,-52.2,17,,,,,,,,,,,,,,,,,49.7,92.8,2140,-12,-17.7,18.7,34.9,80.8,2514,13.6,-44.9,15.4,82.9,1737,-13.1,-29.9,
Martinez, Adrian,661309,2022,.354,89.1,14,10.3,67.5,18.1,28.3,37.7,50.8,49.2,,,,,,22.1,82,1936,2.9,-40.1,27.6,84,2289,-14.2,-42.3,,,,,,,50.3,93.8,2157,-17.3,-22.8,,,,,,,,,,,,50.3,93.8,2157,-17.3,-22.8,19.4,22.1,82,1936,2.9,-40.1,27.6,84,2289,-14.2,-42.3,
Duran, Jhoan,661395,2022,.233,88.2,-1.1,4.5,71.6,23.2,37.8,57.1,49.4,50.6,49.7,100.8,2171,-11.7,-12.9,3,89.7,2320,1,-31.3,,,,,,31.4,87.8,2660,3,-42.2,7.8,,,,,,,,,,,15.9,96.4,1658,-12.9,-26.2,13.5,49.7,100.8,2171,-11.7,-12.9,18.4,34.4,88,2630,2.8,-41.2,15.9,96.4,1658,-12.9,-26.2,
Clase, Emmanuel,661403,2022,.219,86.3,0.3,2.2,74.4,20.8,46.2,47.5,46.6,53.4,2.2,99.9,2565,-4.3,-13.9,38.1,91.9,2653,7.1,-32.4,,,,,,,,,,,,,,,,,59.7,99.5,2653,3.2,-16.5,,,,,,,61.9,99.5,2650,3,-16.4,11.8,38.1,91.9,2653,7.1,-32.4,,,,,,
Martinez, Seth,661527,2022,.260,86.6,15.4,5.9,69.6,20.8,28.5,35.6,53.4,46.6,33.8,91.9,2192,-10.3,-19.1,30.2,79.6,2467,12.7,-35.7,12.5,86.5,1719,-15.2,-37.2,,,,,,,19.3,90.9,2141,-14.9,-30.1,4.2,86.1,2436,3.1,-29.2,,,,,,,57.3,91.1,2193,-10.9,-23.5,15.8,30.2,79.6,2467,12.7,-35.7,12.5,86.5,1719,-15.2,-37.2,
Munoz, Andres,662253,2022,.211,86.2,7.2,5.3,71.4,32.2,39.4,57.3,52.8,47.2,35.4,100.2,2290,-12.1,-13.9,64.6,88.6,2226,4.3,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,100.2,2290,-12.1,-13.9,18.2,64.6,88.6,2226,4.3,-29.7,,,,,,
Suarez, Robert,663158,2022,.282,88.4,12.3,8.6,68.5,22.8,27.9,30.6,49.7,50.3,43.6,97.9,2304,-7.3,-11.6,,,,,,21,89.3,1763,-16.2,-26.7,4.5,80.6,2153,5.9,-50.2,10.5,22.2,97,2249,-14,-14.7,8.7,93.6,2206,0.8,-20.6,,,,,,,74.5,97.2,2276,-8.3,-13.6,18.2,4.5,80.6,2153,5.9,-50.2,21,89.3,1763,-16.2,-26.7,
Feltner, Ryan,663372,2022,.340,89.7,13.3,8.3,68.2,14.1,24,39.5,49.9,50.1,35.3,94.5,2346,-6.6,-17,26.6,84.6,2489,5.3,-36,6.2,83.8,1595,-5.3,-33,9.6,77.9,2548,8.2,-54.5,12.8,20.2,93.5,2305,-12.1,-25.7,,,,,,,,,,,,55.5,94.2,2331,-8.6,-20.2,14.4,38.3,82.8,2500,6.4,-40.7,6.2,83.8,1595,-5.3,-33,
Thornton, Trent,663423,2022,.348,90.1,19.2,6.7,64.7,11.9,23.6,47.3,47.1,52.9,41.7,93.8,2431,-2.5,-13.1,0.8,85.1,2705,6.4,-30.4,,,,,,15.2,79.7,3028,8.4,-59.4,18.1,4.4,92.9,2263,-11.1,-19.7,,,,,,,,,,,,46.1,93.7,2415,-3.3,-13.7,18.2,53.9,81.5,2950,12.9,-46.1,,,,,,
Martin, Davis,663436,2022,.334,89.1,17.1,7.1,71,15.2,32.2,44,50.1,49.9,46.3,94,2356,-6.3,-14.6,32.3,84.3,2697,7.1,-38.2,10.8,85.9,2192,-14.9,-28,10.6,79.7,2627,8.1,-54.6,14.1,,,,,,,,,,,,,,,,,46.3,94,2356,-6.3,-14.6,17.6,42.9,83.2,2680,7.3,-42.3,10.8,85.9,2192,-14.9,-28,
Pilkington, Konnor,663455,2022,.337,89.2,13.2,12.1,73,22.8,25.3,40.4,53.7,46.3,63.3,92,2219,9.4,-16,7.9,81.8,2230,-1.9,-41,21.4,84.3,1740,14.3,-30.2,7.3,77.1,2161,-6.1,-57.3,12.8,0.1,93.3,2222,16.1,-12.5,,,,,,,,,,,,63.4,92,2219,9.5,-16,19,15.2,79.6,2197,-3.9,-48.8,21.4,84.3,1740,14.3,-30.2,
Bubic, Kris,663460,2022,.362,90,10.7,7.8,69.1,16,23.9,37.1,48.9,51.1,50.5,91.9,2134,7.7,-15.9,,,,,,27.8,80.7,1690,14.3,-33.2,21.7,79.4,2609,-7.6,-56.4,15.1,,,,,,,,,,,,,,,,,50.5,91.9,2134,7.7,-15.9,18.3,21.7,79.4,2609,-7.6,-56.4,27.8,80.7,1690,14.3,-33.2,
McKenzie, Triston,663474,2022,.294,90.1,19.5,9.8,71.8,17.9,32.4,48.5,48,52,55.6,92.5,2314,-3,-11.6,22.2,87.3,2198,5.3,-25.7,,,,,,22.2,79.4,2198,7.9,-51.3,11.5,,,,,,,,,,,,,,,,,55.6,92.5,2314,-3,-11.6,20.8,44.4,83.4,2198,6.6,-38.4,,,,,,
McClanahan, Shane,663556,2022,.261,87.6,8.3,6.4,66.3,25.6,32.4,52.3,49.6,50.4,35.7,96.7,2233,10.8,-11.7,15.5,89.3,2350,-3.6,-30.6,25.4,87.7,1732,16,-25.4,23.4,82,2628,-7.6,-52.1,13.8,,,,,,,,,,,,,,,,,35.7,96.7,2233,10.8,-11.7,20.8,38.9,84.9,2517,-6.1,-43.6,25.4,87.7,1732,16,-25.4,
Moran, Jovani,663558,2022,.236,85,7.4,5.4,67.5,29.6,29.4,56.5,54.6,45.4,51,93.4,2225,2.9,-13.4,3.4,81.2,2600,-8,-43.2,45.5,83.3,1809,13.7,-31.4,,,,,,,,,,,,,,,,,,,,,,,51,93.4,2225,2.9,-13.4,18.3,3.4,81.2,2600,-8,-43.2,45.5,83.3,1809,13.7,-31.4,
Falter, Bailey,663559,2022,.333,89.3,17.7,7.5,66.7,15.5,27.4,46.8,46.5,53.5,30.3,91.3,2051,1.2,-13.9,15.8,83.5,1967,-4.4,-35.5,4.2,83,1562,8.3,-24.9,16.9,76.5,2120,-7.6,-53.6,10.3,32.8,90.9,1782,7.9,-15.8,,,,,,,,,,,,63.1,91.1,1911,4.7,-14.9,19.1,32.7,79.8,2046,-6.1,-44.8,4.2,83,1562,8.3,-24.9,
Lynch, Daniel,663738,2022,.345,91.2,12.8,8.8,72.4,17.9,28.3,43.9,50.9,49.1,43.2,94,2125,6.9,-15.3,30.4,85.9,2020,-0.4,-33.8,18.2,84.8,1670,13.2,-27.7,5.1,81.1,2106,-1.9,-47,6.2,3.1,93.4,2053,14.1,-19.4,,,,,,,,,,,,46.3,94,2120,7.3,-15.5,17.3,35.5,85.2,2033,-0.7,-35.7,18.2,84.8,1670,13.2,-27.7,
Woodford, Jake,663765,2022,.310,88,9.4,5.3,72,12.3,28.8,29.1,51.4,48.6,21.4,92.4,2203,-5.5,-18.4,0.3,83.7,2589,7.2,-39.2,3.7,85.2,1401,-12.1,-29.9,8.5,75.3,2541,10.7,-66.2,20.3,38.2,91.8,2027,-12.6,-24.3,,,,,,,,,,,,59.5,92.1,2090,-10,-22.2,15,36.7,80.5,2515,12.2,-48.9,3.7,85.2,1401,-12.1,-29.9,
Sandoval, Patrick,663776,2022,.304,87.4,11.4,5.5,66,20.7,31.5,46.9,51.5,48.5,23,93.1,2039,3.9,-15.1,28.4,86.3,2553,-6.7,-35.7,24.8,83.7,1607,14.3,-30.5,9.5,78.6,2783,-7.7,-56.4,14.4,14.4,93.5,1924,13.7,-19,,,,,,,,,,,,37.3,93.2,1995,7.7,-16.6,17.7,37.9,84.3,2611,-6.9,-40.9,24.8,83.7,1607,14.3,-30.5,
Hicks, Jordan,663855,2022,.307,86.9,1.4,7,61.6,16.2,23.5,43.3,51.5,48.5,0.6,100.1,2178,-7.8,-16.8,31.6,84.7,2486,11.8,-38.7,2.7,92.1,1758,-15.7,-24.2,,,,,,,65.2,99.4,2039,-15.8,-19.7,,,,,,,,,,,,65.7,99.4,2041,-15.7,-19.7,17.8,31.6,84.7,2486,11.8,-38.7,2.7,92.1,1758,-15.7,-24.2,
Singer, Brady,663903,2022,.309,89.3,8.6,8.2,60.4,14.4,26.4,44.6,47.3,52.7,0.5,92.6,2327,-7.6,-20.2,38,85.5,2341,3.6,-36.8,7.7,86.9,2229,-14.5,-24.3,,,,,,,53.8,93.8,2297,-14.9,-20.6,,,,,,,,,,,,54.3,93.7,2297,-14.8,-20.6,18.3,38,85.5,2341,3.6,-36.8,7.7,86.9,2229,-14.5,-24.3,
Stephan, Trevor,663986,2022,.239,87.5,10.2,3.1,68.9,25.5,33.5,53.3,52.6,47.4,48,96.5,2478,-11,-15,24.6,85.9,2591,9.6,-34.6,,,,,,,,,,,,,,,,,,,,,,27.4,87.9,1272,-11.9,-30.9,13.1,48,96.5,2478,-11,-15,18.4,24.6,85.9,2591,9.6,-34.6,27.4,87.9,1272,-11.9,-30.9,
Gonsolin, Tony,664062,2022,.276,89,13.8,5.6,69.7,17.7,30.1,48,50.5,49.5,39.1,93.1,2326,-8.5,-14.2,21.5,87.5,2486,3.2,-30.8,,,,,,11.9,80.7,2570,3.3,-54,12.6,,,,,,,,,,,27.5,83.5,1411,-12.4,-36.8,12.9,39.1,93.1,2326,-8.5,-14.2,19.5,33.3,85.1,2516,3.2,-39.1,27.5,83.5,1411,-12.4,-36.8,
Effross, Scott,664123,2022,.248,87.3,8.7,4,61.3,18.9,33.8,32.6,51.2,48.8,11.3,90.8,2246,-17.3,-29.6,40.2,79.8,2451,12.5,-40.3,14.6,83,2065,-14.3,-48.6,,,,,,,33.9,90.3,2216,-18,-37.1,,,,,,,,,,,,45.2,90.4,2224,-17.8,-35.2,18.3,40.2,79.8,2451,12.5,-40.3,14.6,83,2065,-14.3,-48.6,
Gibaut, Ian,664139,2022,.282,86.6,14.9,4.3,63.2,21.4,26,37.8,49.9,50.1,44.1,95.8,2273,-4.7,-12.5,7.9,85.1,2494,9.2,-35.3,11.1,85.9,1894,-14.9,-29.4,,,,,,,,,,,,22.6,92.4,2356,4.1,-22.5,,,,,,,66.7,94.7,2301,-1.7,-15.9,15.5,22.2,84.2,2492,13.2,-37.3,11.1,85.9,1894,-14.9,-29.4,
Brubaker, JT,664141,2022,.329,89.6,10.8,7.6,63.7,14,30.6,52.8,52.3,47.7,5.9,92.7,2156,-9.3,-16.2,31,86.7,2653,0.9,-34.3,5.1,87.2,1880,-15.2,-29.6,16,80,2813,6.5,-50.9,10.9,41.9,93.1,2281,-16.1,-21.7,,,,,,,,,,,,47.8,93.1,2266,-15.3,-21,19,47.1,84.4,2707,2.8,-40,5.1,87.2,1880,-15.2,-29.6,
Swarmer, Matt,664161,2022,.361,90.7,17.7,13.4,67.7,17.4,29.4,52.6,60,40,39.1,90.5,1989,-4.1,-18.1,59.1,82.1,2194,7.3,-37.5,1.8,85.7,1468,-4.1,-26.3,,,,,,,,,,,,,,,,,,,,,,,39.1,90.5,1989,-4.1,-18.1,15.9,59.1,82.1,2194,7.3,-37.5,1.8,85.7,1468,-4.1,-26.3,
Clarke, Taylor,664199,2022,.277,89.5,19.1,6.2,76.5,17.9,32.1,41.5,51.5,48.5,42.4,95.6,2268,-5.5,-12.3,36.2,88.4,2177,3.6,-31.4,21.4,89,1536,-14.1,-29.5,,,,,,,,,,,,,,,,,,,,,,,42.4,95.6,2268,-5.5,-12.3,18.7,36.2,88.4,2177,3.6,-31.4,21.4,89,1536,-14.1,-29.5,
Maton III, Phil,664208,2022,.320,85.1,14.2,6.3,67.8,21.9,31.1,46.3,52.3,47.7,43.2,91,2487,-1.3,-16.8,18.1,80.9,2673,17.8,-37.7,0.1,84.2,2243,-4.9,-21.3,31.5,74.5,2996,19.9,-58.9,21.8,6.5,90.2,2223,-15.2,-24.7,0.6,82.4,2656,9.3,-31.1,,,,,,,50.3,90.8,2455,-3,-18,16.5,49.6,76.8,2880,19.1,-51.2,0.1,84.2,2243,-4.9,-21.3,
Valdez, Framber,664285,2022,.284,89.8,-3.6,5.8,64.5,14.1,27.9,54.6,47.9,52.1,3.6,94.1,2192,7.4,-22.1,,,,,,9,88.7,1631,15.3,-33,28,79.1,2848,-11.7,-60.5,20.1,49,93.9,2203,14.4,-24.2,10.3,83,2673,-3.7,-45,,,,,,,62.9,92.1,2279,11,-27.5,14.4,28,79.1,2848,-11.7,-60.5,9,88.7,1631,15.3,-33,
Moreta, Dauri,664294,2022,.311,90.6,22.9,12.5,63.7,20.7,25.5,44.3,50.6,49.4,30.3,95.9,2250,-8.2,-11.9,24,85.7,1996,-3.7,-35.8,20.6,87.8,1810,-12.5,-21.3,,,,,,,25.1,96,2285,-11.9,-12.7,,,,,,,,,,,,55.5,95.9,2266,-9.9,-12.3,20.2,24,85.7,1996,-3.7,-35.8,20.6,87.8,1810,-12.5,-21.3,
Javier, Cristian,664299,2022,.244,88.4,25.4,7.2,70.9,24,28,46.3,50.7,49.3,59.9,93.8,2354,-7.3,-12.2,27.6,79.8,2621,15.1,-40.2,4.1,85.3,2220,-14.5,-28.1,8.3,76.5,2885,13.2,-56.4,16.4,,,,,,,,,,,,,,,,,59.9,93.8,2354,-7.3,-12.2,20.5,36,79.1,2682,14.7,-44,4.1,85.3,2220,-14.5,-28.1,
Urquidy, Jose,664353,2022,.329,89.7,17.2,9.4,72.2,16.9,30,36.5,47.8,52.2,52.7,93.5,2201,-7.7,-11.7,,,,,,14.8,86.1,2006,-15.8,-23.6,14.1,78.1,2628,7.4,-60.3,16.9,,,,,,4.8,87.4,2508,4.2,-29.7,,,,,,,57.6,93,2227,-6.7,-13.2,20.2,27.6,79.1,2626,10.9,-51.3,14.8,86.1,2006,-15.8,-23.6,
Diaz, Alexis,664747,2022,.260,86.7,21,7.5,70.3,26.8,30.6,54.6,53.8,46.2,64.7,95.7,2656,-6.6,-15.6,35.2,86.9,2750,5.7,-35.1,,,,,,0.1,81.4,2864,14.9,-45.3,15.6,,,,,,,,,,,,,,,,,64.7,95.7,2656,-6.6,-15.6,15.9,35.3,86.9,2750,5.7,-35.1,,,,,,
Helsley, Ryan,664854,2022,.223,88.8,22.2,8.8,71.2,25.6,34.2,64.2,49.2,50.8,57,99.6,2643,-2.8,-9.5,32.1,89.1,2464,4.5,-32.2,0.6,89.7,1564,-10.9,-22,10.3,80.7,2532,6.7,-53.7,13.6,,,,,,,,,,,,,,,,,57,99.6,2643,-2.8,-9.5,18.5,42.4,87.1,2480,5.1,-37.4,0.6,89.7,1564,-10.9,-22,
Lawrence, Justin,664875,2022,.293,87.8,5.9,4.2,62.1,14.6,24.6,49.5,49.5,50.5,,,,,,44.7,82.3,2797,14.5,-36.1,,,,,,,,,,,,55.3,95.1,2281,-16.5,-29.3,,,,,,,,,,,,55.3,95.1,2281,-16.5,-29.3,16.7,44.7,82.3,2797,14.5,-36.1,,,,,,
Kremer, Dean,665152,2022,.326,88.4,14.7,7.3,69.3,14.9,32.3,37.7,50.3,49.7,32.7,93.5,2235,-8.9,-14.8,,,,,,15.4,83.7,1580,-15.1,-37.8,12.3,76.5,2697,11.1,-62.2,18.6,8.7,91.7,2139,-16,-20.5,30.9,88,2478,4.7,-27.1,,,,,,,72.3,90.9,2327,-3.9,-20.7,15.2,12.3,76.5,2697,11.1,-62.2,15.4,83.7,1580,-15.1,-37.8,
Garcia, Rony,665621,2022,.379,91.5,18.9,16.3,70.5,14.4,24.3,41.1,52,48,44.7,92.9,2335,-10.6,-18,,,,,,11,87.5,1748,-12.1,-26.9,31.7,80.3,2343,7.9,-42.2,8.2,12.7,92.5,2252,-17,-24.6,,,,,,,,,,,,57.4,92.8,2317,-12,-19.5,17.8,31.7,80.3,2343,7.9,-42.2,11,87.5,1748,-12.1,-26.9,
Sanmartin, Reiver,665665,2022,.306,86,4.6,7.2,64.4,13.3,30.1,47.1,54.8,45.2,19,90.9,2217,13.6,-21.3,26.7,82,2433,-5.7,-39,32.9,85.2,2002,16.9,-38.7,,,,,,,21.4,90.5,2223,17.5,-28.9,,,,,,,,,,,,40.4,90.7,2220,15.7,-25.3,18.3,26.7,82,2433,-5.7,-39,32.9,85.2,2002,16.9,-38.7,
Cabrera, Edward,665795,2022,.301,86.2,12.1,6.9,60.2,22.6,33,44.2,59.1,40.9,20.8,96.1,2291,-9.7,-13.8,15.9,86.8,2426,4.4,-33.8,33.3,92.5,1687,-16.1,-24,19.2,83.9,2436,8.9,-44.5,10.9,10.7,95.9,2262,-15.5,-17.3,,,,,,,,,,,,31.5,96,2281,-11.7,-15,19.2,35.1,85.2,2432,6.9,-39.7,33.3,92.5,1687,-16.1,-24,
Assad, Javier,665871,2022,.327,87.5,17.8,5.2,68.6,16.7,28.4,35.8,55.7,44.3,21.3,92.9,2211,-6.9,-15.2,9.7,81.2,2297,10.8,-37.7,6.7,85.4,1510,-14.2,-29.6,4.2,75.9,2432,10.8,-58.3,15.4,31.2,92.3,2004,-14.2,-20,27,88.1,2134,3.6,-28.2,,,,,,,79.4,91.1,2104,-6.2,-21.5,15,13.9,79.6,2337,10.8,-43.9,6.7,85.4,1510,-14.2,-29.6,
Anderson, Ian,666120,2022,.323,89.2,8.4,6.2,70.8,18.3,28.4,48,56.4,43.6,48,94,1938,-5.9,-14.3,,,,,,33.4,88.2,1519,-10.4,-25.3,18.7,81.7,1874,0.6,-43.8,3.8,,,,,,,,,,,,,,,,,48,94,1938,-5.9,-14.3,17.9,18.7,81.7,1874,0.6,-43.8,33.4,88.2,1519,-10.4,-25.3,
Garrett, Braxton,666129,2022,.312,89.4,9,7.2,63.1,11.6,33.4,54.5,50.4,49.6,24.9,91.4,2315,9.3,-17.1,32.2,84.1,2298,-9,-41.7,9.8,85.9,1637,16.9,-33.5,10.4,78.7,2298,-11.4,-53.2,14.6,22.6,90.9,2089,16.4,-26.3,,,,,,,,,,,,47.6,91.2,2208,12.7,-21.5,18.3,42.6,82.8,2298,-9.6,-44.5,9.8,85.9,1637,16.9,-33.5,
Ragans, Cole,666142,2022,.336,87.5,18.2,6.9,77.5,14.7,29.6,38.1,56.5,43.5,44.5,92.1,2400,10.7,-14,,,,,,32.9,82.1,2209,16.2,-26.7,6.2,76.3,2220,-11.2,-62.3,18.4,,,,,,16.4,88.5,2419,0.9,-27.5,,,,,,,60.9,91.1,2405,8.1,-17.6,17.8,6.2,76.3,2220,-11.2,-62.3,32.9,82.1,2209,16.2,-26.7,
Lodolo, Nick,666157,2022,.306,88.6,11.4,7.9,61.4,21.2,30,48.8,50.7,49.3,32.4,94.4,2336,16.7,-20.5,,,,,,10.6,88.3,1959,17.9,-32.9,30.8,81.5,2732,-13.7,-40,14.1,26.2,94.2,2310,18.5,-24.2,,,,,,,,,,,,58.6,94.3,2324,17.5,-22.2,19.8,30.8,81.5,2732,-13.7,-40,10.6,88.3,1959,17.9,-32.9,
