last_name, first_name,player_id,year,xwoba,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,
Alcantara, Sandy,645261,2022,.267,87.8,5.5,5.3,70.5,18.3,34.7,41.2,47.8,52.2,25.2,98,2200,-12,-14.9,22,90,2355,0.3,-30.5,27.7,91.8,2056,-16.8,-28.9,0.3,86.2,2350,2.4,-39.3,3.8,24.8,97.8,2293,-17.7,-21.3,,,,,,,,,,,,50,97.9,2246,-14.8,-18,18.8,22.3,89.9,2355,0.4,-30.6,27.7,91.8,2056,-16.8,-28.9,
Pop, Zach,647315,2022,.286,88.2,1.3,5.6,64,11.4,39.3,29.6,51.3,48.7,,,,,,22.9,85,2406,7.9,-38.6,0.2,89.3,1927,-10.2,-30.5,,,,,,,76.9,96.5,2069,-17,-24.5,,,,,,,,,,,,76.9,96.5,2069,-17,-24.5,17.9,22.9,85,2406,7.9,-38.6,0.2,89.3,1927,-10.2,-30.5,
Abreu, Bryan,650556,2022,.269,86.6,12.8,3.8,71.9,24.6,31,65.9,55.6,44.4,45,97.2,2312,-6.3,-12,44,88.4,2765,8.2,-37.8,0.3,89.7,1806,-12.2,-21.6,10.3,84.5,2942,11.3,-46.2,14,0.4,96,2478,-15.2,-18,,,,,,,,,,,,45.4,97.2,2313,-6.3,-12,18.4,54.3,87.6,2799,8.8,-39.4,0.3,89.7,1806,-12.2,-21.6,
King, Michael,650633,2022,.263,86.2,8.4,6.8,60.7,24.6,31.3,56,52,48,22.7,96.4,2433,-7.1,-12.8,,,,,,9.6,88.3,2152,-17.8,-27.4,,,,,,,37.2,95.5,2375,-16.9,-23.4,,,,,,,,,,,,59.9,95.9,2397,-13.2,-19.4,18.4,30.5,82.3,2785,18.6,-40.3,9.6,88.3,2152,-17.8,-27.4,
Civale, Aaron,650644,2022,.303,88.6,13.5,7.5,65.8,13.9,30.7,43.3,53.9,46.1,8.8,90.7,2354,-2.1,-16,1.8,81.6,2781,9.3,-43,,,,,,27.5,75.9,2971,11.7,-65.8,21.3,21.9,91.3,2312,-12.2,-21.2,34.8,86.3,2612,6.6,-32.3,3.6,85.5,1843,-12,-29.4,14.5,65.6,88.6,2477,-0.9,-26.4,12.4,30.8,76.4,2953,12,-63.5,3.6,85.5,1843,-12,-29.4,
Quijada, Jose,650671,2022,.258,87.6,22.3,9.6,72.9,27.8,31.5,42.9,52.5,47.5,85.2,94.6,2207,6,-15.2,4.3,81.3,2525,-11,-40.8,10.5,87,1644,16.3,-31.2,,,,,,,,,,,,,,,,,,,,,,,85.2,94.6,2207,6,-15.2,16.7,4.3,81.3,2525,-11,-40.8,10.5,87,1644,16.3,-31.2,
Cabrera, Genesis,650893,2022,.341,86.3,12.2,7.2,68.3,18.1,29.6,33.9,52.9,47.1,34.2,96.1,2232,7.5,-11.8,1,87.4,2160,-3.7,-31.1,17.7,90.2,1768,14.9,-23.2,29.6,79.3,2402,-9.1,-53.8,13.9,17.5,95.9,2204,14.6,-15.6,,,,,,,,,,,,51.8,96,2223,9.9,-13.1,19.8,30.6,79.6,2394,-8.9,-53.1,17.7,90.2,1768,14.9,-23.2,
Castillo, Diego,650895,2022,.269,86.4,9,7.6,69.9,15.4,28.1,52.9,51.3,48.7,5.6,95.7,1968,-11.9,-18.9,63.3,88.4,2260,0.2,-28.8,,,,,,,,,,,,31.1,95.1,1998,-17.3,-25.3,,,,,,,,,,,,36.7,95.2,1993,-16.5,-24.3,17.9,63.3,88.4,2260,0.2,-28.8,,,,,,
Sanchez, Cristopher,650911,2022,.321,87.9,4.9,6.6,62.8,10.4,28.7,36.7,51.7,48.3,,,,,,18.9,84.8,1912,-1.8,-38.1,20.1,84.4,1914,17,-37.3,,,,,,,61,93,2061,17.8,-23.5,,,,,,,,,,,,61,93,2061,17.8,-23.5,19.8,18.9,84.8,1912,-1.8,-38.1,20.1,84.4,1914,17,-37.3,
Abreu, Albert,656061,2022,.319,87.6,2.9,5.5,64.4,16.8,24.3,48.4,57,43,12.5,97.6,2164,-10.6,-12.9,29.2,88.6,2267,2.5,-29.3,10.2,88,1915,-16.7,-26.6,,,,,,,48.1,98.5,2198,-14.7,-15.1,,,,,,,,,,,,60.6,98.3,2191,-13.9,-14.6,19.7,29.2,88.6,2267,2.5,-29.3,10.2,88,1915,-16.7,-26.6,
Beeks, Jalen,656222,2022,.299,86.7,9.6,8.3,68.8,24.6,31.6,43,54.5,45.5,48.2,95,2122,5.1,-12.5,1.3,82.1,2258,-2.8,-42.9,49.2,90.3,1933,16.6,-25.3,,,,,,,,,,,,1.2,87.5,2255,-2.1,-28.6,,,,,,,49.4,94.8,2125,4.9,-12.9,18.4,1.3,82.1,2258,-2.8,-42.9,49.2,90.3,1933,16.6,-25.3,
Bird, Jake,656234,2022,.336,91.2,5.4,6.3,63.3,10.1,16.9,65,47.7,52.3,,,,,,,,,,,2,88,1730,-10.4,-34.4,15.2,81.7,2832,14.4,-50,17,57.7,95,1951,-11.1,-30,25.1,91.4,2354,0.6,-24.9,,,,,,,82.8,93.9,2074,-7.5,-28.5,10.3,15.2,81.7,2832,14.4,-50,2,88,1730,-10.4,-34.4,
Burke, Brock,656271,2022,.284,88.6,13.2,7.1,67.5,20.3,27.5,34.8,51.1,48.9,63.2,95,2280,10.3,-14,19.9,87.2,2158,-0.9,-30.7,13.2,88.1,1991,16.9,-26.8,,,,,,,3.7,93.5,2048,16.3,-18.7,,,,,,,,,,,,66.8,94.9,2267,10.6,-14.3,19.5,19.9,87.2,2158,-0.9,-30.7,13.2,88.1,1991,16.9,-26.8,
Cease, Dylan,656302,2022,.257,86.8,15,6.2,68,23.5,31.3,49.6,56.3,43.7,39.8,96.8,2507,-3,-10.3,42.9,87.4,2833,4,-35,2.4,77.9,1720,-8.3,-29.9,13.9,81.1,2697,3.6,-59.1,17.7,1,96.5,2492,-7.8,-10.8,,,,,,,,,,,,40.7,96.8,2507,-3.1,-10.3,19.3,56.8,85.9,2800,3.9,-40.9,2.4,77.9,1720,-8.3,-29.9,
Davidson, Tucker,656353,2022,.338,89.6,10.8,5.2,65.2,11.7,25.3,49.2,51.1,48.9,41.7,93.1,2017,3.5,-14.3,44.1,86.6,2278,-5.9,-37.1,4.5,85.4,1727,13.6,-26.4,8.4,78.4,2477,-8,-53.3,12,1.3,93.1,1960,11.7,-15.8,,,,,,,,,,,,43,93.1,2015,3.7,-14.4,17.8,52.5,85.3,2310,-6.2,-39.7,4.5,85.4,1727,13.6,-26.4,
Davis, Austin,656354,2022,.333,86.7,16.7,7.4,66.2,20.1,26.3,43.2,52.1,47.9,43.7,94.1,2255,10.4,-15.7,38.5,80.5,2377,-15.1,-41.6,15.7,86.3,1903,15.9,-29.1,0.1,77.7,2514,-34.4,-53.2,35,2,93.5,2129,15.2,-21.4,,,,,,,,,,,,45.7,94,2250,10.6,-16,18.6,38.6,80.5,2377,-15.1,-41.6,15.7,86.3,1903,15.9,-29.1,
Faedo, Alex,656412,2022,.358,91.1,19.1,9.8,68,15.8,24.2,47.9,49.9,50.1,51.4,92.8,2183,-11,-14.8,35,84.9,2486,2.9,-35.2,13.7,86.2,1944,-15.8,-25.8,,,,,,,,,,,,,,,,,,,,,,,51.4,92.8,2183,-11,-14.8,20.4,35,84.9,2486,2.9,-35.2,13.7,86.2,1944,-15.8,-25.8,
Flaherty, Jack,656427,2022,.341,87.2,11.8,5.6,68.6,18.9,22.1,43.6,53.3,46.7,48.3,93.3,2279,-3.6,-17.5,25.2,83.8,2435,7.4,-37.6,0.8,86.2,1714,-12.2,-29.5,16.5,77.2,2396,13.6,-56.6,17.2,5.9,91,2014,-11.5,-24.9,3.3,88.2,2274,5.3,-28.8,,,,,,,57.6,92.8,2252,-3.9,-18.9,14.1,41.7,81.2,2419,9.9,-45.1,0.8,86.2,1714,-12.2,-29.5,
Gilbreath, Lucas,656458,2022,.316,88.5,13.5,2.8,64.9,24.3,24.7,40.2,54.5,45.5,73.2,93.8,2371,0.6,-15.1,25.6,82.7,2392,-3.8,-42.7,,,,,,,,,,,,,,,,,,,,,,1.1,85,1188,6.4,-28.8,11.5,73.2,93.8,2371,0.6,-15.1,16.1,25.6,82.7,2392,-3.8,-42.7,1.1,85,1188,6.4,-28.8,
Hentges, Sam,656529,2022,.261,88.8,-0.2,5.3,67.9,22.3,32.4,44.2,50.4,49.6,36.9,95.7,2219,8.4,-15.1,15.9,88,2317,-3.5,-33.2,,,,,,21.2,81.3,2514,-6.3,-55.5,15.5,26.1,95.7,2155,14.1,-19.7,,,,,,,,,,,,62.9,95.7,2192,10.8,-17,17.4,37.1,84.2,2429,-5.1,-46,,,,,,
Hoffman, Jeff,656546,2022,.317,89.3,22.4,8.7,69.4,19.4,24,40.5,54.5,45.5,52,94.2,2457,-10.7,-13.8,23.7,81.2,2691,10.9,-46.3,24.3,87.7,1523,-14.4,-28.1,,,,,,,,,,,,,,,,,,,,,,,52,94.2,2457,-10.7,-13.8,20.3,23.7,81.2,2691,10.9,-46.3,24.3,87.7,1523,-14.4,-28.1,
Houck, Tanner,656557,2022,.305,89.7,4.5,4.9,68.1,18.5,29.1,50.3,54.2,45.8,23.5,95.2,2137,-10.4,-20.9,40.8,85.4,2556,11.1,-37,,,,,,,,,,,,29.6,94.5,2047,-16.6,-31.6,,,,,,6,87.6,1656,-14.8,-34.1,15.5,53.2,94.8,2087,-13.8,-26.9,15.6,40.8,85.4,2556,11.1,-37,6,87.6,1656,-14.8,-34.1,
